COSECHA,codmes,producto_f,FLG,SUBP,MADURACION,SALDO
2020,202409,9.PNR Capital de trabajo,0,2,0,6.027762640999994E7
2020,202410,9.PNR Capital de trabajo,0,5,0,1.1745729355799992E9
2020,202410,9.PNR Capital de trabajo,0,2,0,5.414160002999995E7
2020,202410,9.PNR Capital de trabajo,1,5,0,2.5633904953999993E8
2020,202410,9.PNR Capital de trabajo,0,1,0,619165.1900000002
2020,202410,9.PNR Capital de trabajo,1,2,0,8537577.189999998
2020,202411,9.PNR Capital de trabajo,0,5,0,1.0355623880200001E9
2020,202411,9.PNR Capital de trabajo,1,5,0,2.434274365500002E8
2020,202411,9.PNR Capital de trabajo,0,1,0,539801.9000000004
2020,202411,9.PNR Capital de trabajo,1,2,0,1.1170352419999994E7
2020,202411,9.PNR Capital de trabajo,0,2,0,4.9554252299999975E7
2020,202412,9.PNR Capital de trabajo,1,5,0,2.2753613380000016E8
2020,202412,9.PNR Capital de trabajo,0,1,0,457252.9100000002
2020,202412,9.PNR Capital de trabajo,0,5,0,1.0762097650600026E9
2020,202412,9.PNR Capital de trabajo,1,2,0,2.01861819E7
2020,202412,9.PNR Capital de trabajo,0,2,0,4.475968400999998E7
2020,202501,9.PNR Capital de trabajo,1,5,0,2.4265221428999993E8
2020,202501,9.PNR Capital de trabajo,0,2,0,4.520254304999999E7
2020,202501,9.PNR Capital de trabajo,0,5,0,9.564457536100012E8
2020,202501,9.PNR Capital de trabajo,1,2,0,1.9700422919999994E7
2020,202501,9.PNR Capital de trabajo,0,1,0,372264.00999999966
2020,202502,9.PNR Capital de trabajo,1,5,0,1.6997637771000007E8
2020,202502,9.PNR Capital de trabajo,0,5,0,7.663031109799993E8
2020,202502,9.PNR Capital de trabajo,1,2,0,8300610.719999998
2020,202502,9.PNR Capital de trabajo,0,2,0,3.654173093E7
2020,202502,9.PNR Capital de trabajo,0,1,0,284940.56999999995
2020,202503,9.PNR Capital de trabajo,0,2,0,3.4055283879999995E7
2020,202503,9.PNR Capital de trabajo,1,5,0,2.1000683430999988E8
2020,202503,9.PNR Capital de trabajo,0,1,0,0.0
2020,202503,9.PNR Capital de trabajo,1,1,0,137004.40999999992
2020,202503,9.PNR Capital de trabajo,1,2,0,7752118.049999995
2020,202503,9.PNR Capital de trabajo,0,5,0,8.0569203361E8
2020,202504,9.PNR Capital de trabajo,0,5,0,7.310970997800003E8
2020,202504,9.PNR Capital de trabajo,1,5,0,1.8211598160999998E8
2020,202504,9.PNR Capital de trabajo,0,2,0,2.917447455000002E7
2020,202504,9.PNR Capital de trabajo,1,2,0,7581077.120000004
2020,202504,9.PNR Capital de trabajo,0,1,0,0.0
2020,202505,9.PNR Capital de trabajo,1,2,0,8617102.430000009
2020,202505,9.PNR Capital de trabajo,1,5,0,1.804079572800001E8
2020,202505,9.PNR Capital de trabajo,0,5,0,6.9850619486E8
2020,202505,9.PNR Capital de trabajo,0,2,0,2.9662134290000014E7
2020,202505,9.PNR Capital de trabajo,0,1,0,0.0
202101,202201,9.PNR Capital de trabajo,1,1,12,133105.19
202101,202201,9.PNR Capital de trabajo,1,2,12,2096258.9899999998
202101,202201,9.PNR Capital de trabajo,1,5,12,3840154.63
202101,202201,9.PNR Capital de trabajo,0,1,12,302762.54
202101,202201,9.PNR Capital de trabajo,0,5,12,4.19738563E7
202101,202201,9.PNR Capital de trabajo,0,2,12,3.2783800670000006E7
202101,202202,9.PNR Capital de trabajo,1,2,13,1486007.94
202101,202202,9.PNR Capital de trabajo,0,5,13,3.690095383E7
202101,202202,9.PNR Capital de trabajo,1,1,13,60511.89
202101,202202,9.PNR Capital de trabajo,1,5,13,3754096.06
202101,202202,9.PNR Capital de trabajo,0,1,13,124479.65
202101,202202,9.PNR Capital de trabajo,0,2,13,3.0119742230000004E7
202101,202203,9.PNR Capital de trabajo,1,5,14,5074540.659999999
202101,202203,9.PNR Capital de trabajo,1,2,14,3875389.21
202101,202203,9.PNR Capital de trabajo,0,2,14,2.446880807E7
202101,202203,9.PNR Capital de trabajo,1,1,14,0.0
202101,202203,9.PNR Capital de trabajo,0,5,14,3.107448587E7
202101,202203,9.PNR Capital de trabajo,0,1,14,99376.98000000001
202101,202204,9.PNR Capital de trabajo,0,5,15,2.5742524849999998E7
202101,202204,9.PNR Capital de trabajo,1,1,15,0.0
202101,202204,9.PNR Capital de trabajo,0,1,15,75325.22
202101,202204,9.PNR Capital de trabajo,0,2,15,2.082182607E7
202101,202204,9.PNR Capital de trabajo,1,5,15,5287121.899999999
202101,202204,9.PNR Capital de trabajo,1,2,15,3924717.88
202101,202205,9.PNR Capital de trabajo,0,1,16,42961.24
202101,202205,9.PNR Capital de trabajo,0,2,16,1.860163283E7
202101,202205,9.PNR Capital de trabajo,1,5,16,4569802.41
202101,202205,9.PNR Capital de trabajo,0,5,16,2.374909998E7
202101,202205,9.PNR Capital de trabajo,1,1,16,0.0
202101,202205,9.PNR Capital de trabajo,1,2,16,2719000.46
202101,202206,9.PNR Capital de trabajo,1,1,17,0.0
202101,202206,9.PNR Capital de trabajo,1,2,17,2202043.9400000004
202101,202206,9.PNR Capital de trabajo,0,2,17,1.5542944780000001E7
202101,202206,9.PNR Capital de trabajo,0,5,17,1.9756568950000003E7
202101,202206,9.PNR Capital de trabajo,0,1,17,36060.34
202101,202206,9.PNR Capital de trabajo,1,5,17,3189757.84
202101,202207,9.PNR Capital de trabajo,1,5,18,2343251.44
202101,202207,9.PNR Capital de trabajo,0,5,18,1.658515586E7
202101,202207,9.PNR Capital de trabajo,0,2,18,1.3064412739999998E7
202101,202207,9.PNR Capital de trabajo,1,1,18,0.0
202101,202207,9.PNR Capital de trabajo,1,2,18,2225259.4899999998
202101,202207,9.PNR Capital de trabajo,0,1,18,29043.55
202101,202208,9.PNR Capital de trabajo,1,2,19,1476197.4899999998
202101,202208,9.PNR Capital de trabajo,1,5,19,2299421.43
202101,202208,9.PNR Capital de trabajo,0,5,19,1.542224551E7
202101,202208,9.PNR Capital de trabajo,0,1,19,21942.61
202101,202208,9.PNR Capital de trabajo,1,1,19,0.0
202101,202208,9.PNR Capital de trabajo,0,2,19,1.1983932580000002E7
202101,202209,9.PNR Capital de trabajo,0,1,20,14739.62
