COSECHA,codmes,MADURACION,SALDO
202207,202211,4,2.166371489E7
202207,202212,5,1.793869172E7
202207,202301,6,1.4837488780000001E7
202207,202302,7,8000188.619999999
202207,202303,8,7060115.959999999
202207,202304,9,5696269.1899999995
202207,202305,10,4016794.87
202207,202306,11,2621809.42
202207,202307,12,1661831.7899999998
202207,202308,13,1518809.46
202207,202309,14,913366.77
202207,202310,15,892089.5199999999
202207,202311,16,628159.3
202207,202312,17,437456.32
202207,202401,18,184561.78
202207,202402,19,166728.39999999997
202207,202403,20,181943.7
202207,202404,21,247397.26
202207,202405,22,156605.77
202207,202406,23,121173.09000000001
202207,202407,24,90867.88
202207,202408,25,49755.45
202207,202409,26,45690.03
202207,202410,27,40953.74
202207,202411,28,35949.71
202207,202412,29,34055.13
202207,202501,30,32144.210000000003
202207,202502,31,35128.75
202207,202503,32,56105.020000000004
202207,202504,33,31185.83
202207,202505,34,49079.39
202208,202208,0,586800.0
202208,202209,1,534766.11
202208,202210,2,5847987.83
202208,202211,3,1.6091655489999998E7
202208,202212,4,2.1920219360000003E7
202208,202301,5,1.616061295E7
202208,202302,6,9681104.299999999
202208,202303,7,8787321.990000002
202208,202304,8,7934436.28
202208,202305,9,6443581.710000001
202208,202306,10,3977722.8200000008
202208,202307,11,3051159.2199999997
202208,202308,12,2072303.0000000002
202208,202309,13,1437146.73
202208,202310,14,1134175.74
202208,202311,15,634755.1300000001
202208,202312,16,487311.39999999997
202208,202401,17,246507.63999999998
202208,202402,18,174097.13999999998
202208,202403,19,159442.4
202208,202404,20,105709.08
202208,202405,21,40108.49
202208,202406,22,36448.66
202208,202407,23,6875.21
202208,202408,24,29729.239999999998
202208,202409,25,6166.59
202208,202410,26,13270.130000000001
202208,202411,27,35564.8
202208,202412,28,34342.51
202208,202501,29,22128.62
202208,202502,30,27591.9
202208,202503,31,30556.15
202208,202504,32,20692.54
202208,202505,33,20199.88
202209,202209,0,1934703.95
202209,202210,1,1752654.5
202209,202211,2,4567853.890000001
202209,202212,3,1.5767291090000002E7
202209,202301,4,2.015127329E7
202209,202302,5,1.247847763E7
202209,202303,6,1.0473357360000001E7
202209,202304,7,8968895.120000001
202209,202305,8,7857194.890000001
202209,202306,9,5975591.730000001
202209,202307,10,4089373.03
202209,202308,11,3001708.4399999995
202209,202309,12,1756733.74
202209,202310,13,1695937.2000000002
202209,202311,14,1000949.82
202209,202312,15,1080607.98
202209,202401,16,560849.27
202209,202402,17,433233.62000000005
202209,202403,18,523839.95999999996
202209,202404,19,407354.34
202209,202405,20,245744.69999999998
202209,202406,21,239354.38
202209,202407,22,148585.59
202209,202408,23,152926.93
202209,202409,24,105311.05
202209,202410,25,125623.91
202209,202411,26,59390.53999999999
202209,202412,27,53378.719999999994
202209,202501,28,50119.45
202209,202502,29,51111.1
202209,202503,30,44443.12
202209,202504,31,111623.68000000001
202209,202505,32,107630.83
202210,202210,0,707700.0
202210,202211,1,793449.32
202210,202212,2,4542121.969999999
202210,202301,3,1.249955081E7
202210,202302,4,1.0712257359999998E7
202210,202303,5,9104933.56
202210,202304,6,7371738.569999999
202210,202305,7,6262238.340000001
