cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202203;202502;35;845516664.77;0.00;0.05;4. Medio I;0.12;104570964.55;0.12;0.08;0.06;0.05;45941336.56
202203;202503;36;845516664.77;0.00;0.05;4. Medio I;0.12;104987804.26;0.12;0.09;0.06;0.05;45941336.56
202203;202504;37;845516664.77;0.00;0.05;4. Medio I;0.12;104931154.65;0.12;0.09;0.06;0.05;45941336.56
202203;202505;38;845516664.77;0.00;0.05;4. Medio I;0.12;105044453.88;0.12;0.09;0.06;0.05;45941336.56
202203;202506;39;845516664.77;0.00;0.05;4. Medio I;0.12;105267670.28;0.12;0.10;0.06;0.05;45941336.56
202203;202507;40;845516664.77;0.00;0.05;4. Medio I;0.12;105546690.78;0.12;0.10;0.06;0.05;45941336.56
202203;202508;41;845516664.77;0.00;0.05;4. Medio I;0.13;105763988.56;0.12;0.10;0.06;0.05;45941336.56
202203;202509;42;845516664.77;0.00;0.05;4. Medio I;0.13;105867141.60;0.12;0.11;0.06;0.05;45941336.56
202204;202204;0;715369839.45;0.01;0.05;3. Medio II;0.01;7221658.53;0.13;0.01;0.01;0.01;7153698.39
202204;202205;1;715369839.45;0.00;0.05;3. Medio II;0.01;6754522.02;0.13;0.01;0.01;0.01;6438328.56
202204;202206;2;715369839.45;0.00;0.05;3. Medio II;0.01;8521485.53;0.13;0.01;0.01;0.01;10358437.56
202204;202207;3;715369839.45;0.01;0.05;3. Medio II;0.02;13549104.76;0.13;0.01;0.01;0.01;9427080.58
202204;202208;4;715369839.45;0.01;0.05;3. Medio II;0.03;18740543.68;0.13;0.01;0.01;0.01;8733045.93
202204;202209;5;715369839.45;0.01;0.05;3. Medio II;0.03;23673018.73;0.13;0.01;0.01;0.01;8276333.61
202204;202210;6;715369839.45;0.01;0.05;3. Medio II;0.04;29971134.79;0.13;0.01;0.01;0.01;8056943.61
202204;202211;7;715369839.45;0.01;0.05;3. Medio II;0.05;34814188.61;0.13;0.01;0.01;0.01;8074875.95
202204;202212;8;715369839.45;0.01;0.05;3. Medio II;0.05;39258066.05;0.13;0.01;0.01;0.01;8330130.60
202204;202301;9;715369839.45;0.01;0.05;3. Medio II;0.06;43804956.75;0.13;0.01;0.01;0.01;8822707.59
202204;202302;10;715369839.45;0.01;0.05;3. Medio II;0.07;47953386.45;0.13;0.01;0.01;0.01;9552606.90
202204;202303;11;715369839.45;0.01;0.05;3. Medio II;0.07;53144110.00;0.13;0.01;0.01;0.01;10519828.54
202204;202304;12;715369839.45;0.01;0.05;3. Medio II;0.08;57499281.59;0.13;0.02;0.02;0.02;11724372.51
202204;202305;13;715369839.45;0.01;0.05;3. Medio II;0.09;62255060.28;0.13;0.02;0.02;0.02;13166238.80
202204;202306;14;715369839.45;0.01;0.05;3. Medio II;0.09;66934294.40;0.13;0.02;0.02;0.02;14845427.42
202204;202307;15;715369839.45;0.01;0.05;3. Medio II;0.10;71443985.87;0.13;0.02;0.02;0.02;16761938.37
202204;202308;16;715369839.45;0.00;0.05;3. Medio II;0.10;74447823.82;0.13;0.03;0.03;0.03;18915771.64
202204;202309;17;715369839.45;0.00;0.05;3. Medio II;0.11;76674770.13;0.13;0.03;0.05;0.05;34128132.05
202204;202310;18;715369839.45;0.00;0.05;3. Medio II;0.11;79420359.58;0.13;0.03;0.05;0.05;35051920.38
